@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1995-04-02 00:00,1.335166923,10.27590153,7.696342198
,1995-04-03 00:00,1.756363078,10.30462087,5.867022031
,1995-04-04 00:00,1.57479819,8.614762344,5.470391316
,1995-04-05 00:00,1.551701171,8.847160256,5.701587663
,1995-04-06 00:00,1.62315864,9.374019852,5.775171708
,1995-04-07 00:00,1.744125849,10.03319449,5.752563377
,1995-04-08 00:00,1.615790745,9.291669569,5.750540159
,1995-04-09 00:00,0.506642684,4.0793333,8.051696848
,1995-04-10 00:00,0.07689205,2.258390026,29.37091715
,1995-04-11 00:00,0.128177601,4.046048739,31.56595783
,1995-04-12 00:00,0.159983297,5.118891529,31.99641227
,1995-04-13 00:00,0.397620727,6.516751015,16.38936448
,1995-04-14 00:00,0.02310186,0.680227364,29.44470168
,1995-04-15 00:00,0.037533169,1.170344281,31.18160038
,1995-04-16 00:00,0.113927291,3.886839626,34.11684413
,1995-04-17 00:00,0.345132858,6.64981948,19.26741927
,1995-04-18 00:00,0.45891307,6.764239357,14.73969646
,1995-04-19 00:00,4.41952312,24.39968351,5.520886041
,1995-04-20 00:00,13.48152676,58.72218249,4.355751656
,1995-04-21 00:00,12.61991959,39.94635415,3.165341417
,1995-04-22 00:00,8.240383243,21.7428582,2.638573664
,1995-04-23 00:00,3.995140763,10.56657605,2.644857011
,1995-04-24 00:00,12.55992586,55.89352626,4.450147788
,1995-04-25 00:00,13.98339947,47.67507289,3.409405059
,1995-04-26 00:00,5.139113887,5.371563137,1.045231387
,1995-04-27 00:00,5.476402426,22.03430708,4.023500351
,1995-04-28 00:00,4.125127289,15.57442192,3.775500931
,1995-04-29 00:00,2.209848975,9.527687815,4.31146559
,1995-04-30 00:00,1.622556061,10.15208968,6.256849872
,1995-05-01 00:00,1.733911197,11.91747832,6.873176859
,1995-05-02 00:00,0.2186004,3.892779854,17.80774353
,1995-05-03 00:00,0,0,0
,1995-05-04 00:00,0,0,0
,1995-05-05 00:00,0,0,0
,1995-05-06 00:00,0,0,0
,1995-05-07 00:00,0,0,0
,1995-05-08 00:00,0.639194125,6.263730891,9.799418748
,1995-05-09 00:00,0.036883705,0,0
,1995-05-10 00:00,1.61880366,11.77412639,7.273350491
,1995-05-11 00:00,3.967564357,22.25818388,5.610037262
,1995-05-12 00:00,17.86934008,81.41115603,4.555912847
,1995-05-13 00:00,7.572578253,9.00622863,1.189321302
,1995-05-14 00:00,3.13549871,8.907725045,2.84092767
,1995-05-15 00:00,0.354182991,1.616654156,4.564460179
,1995-05-16 00:00,0.630203929,6.658775643,10.56606494
,1995-05-17 00:00,0.323677157,3.346538172,10.33912373
,1995-05-18 00:00,3.591127218,22.72011497,6.32673631
,1995-05-19 00:00,3.81782887,18.7802114,4.919081508
,1995-05-20 00:00,1.112306408,5.662173513,5.090479989
,1995-05-21 00:00,0.025944065,0.047033977,1.812899301
,1995-05-22 00:00,4.69E-04,0,0
,1995-05-23 00:00,7.88E-06,0,0
,1995-05-24 00:00,0,0,0
,1995-05-25 00:00,0,0,0
,1995-05-26 00:00,0.595527897,6.342634387,10.65044043
,1995-05-27 00:00,0.017725304,0.048102251,2.713761645
,1995-05-28 00:00,4.23E-04,0,0
,1995-05-29 00:00,0.47230354,5.19075052,10.99028501
,1995-05-30 00:00,4.051760118,25.82569845,6.37394557
,1995-05-31 00:00,13.33848264,61.59266858,4.61766681
,1995-06-01 00:00,8.241132217,22.83741649,2.771150357
,1995-06-02 00:00,1.296423113,0.538350187,0.415258091
,1995-06-03 00:00,0.3091757,3.378253331,10.92664571
,1995-06-04 00:00,0.211782361,2.46136733,11.62215455
,1995-06-05 00:00,3.021295389,21.27392461,7.041325616
,1995-06-06 00:00,0.173238375,0.786827733,4.54187897
